"Statistic Label","Quarter","Cause of Death","County of Residence of Deceased","UNIT","VALUE"
"Deaths Registered","2023Q3","Diseases of the Circulatory System (I00-I99)","Galway City Council","Number","22"
"Deaths Registered","2023Q3","Diseases of the Circulatory System (I00-I99)","Kildare County Council","Number","86"
"Deaths Registered","2023Q3","Diseases of the Circulatory System (I00-I99)","Kilkenny County Council","Number","48"
"Deaths Registered","2023Q3","Diseases of the Circulatory System (I00-I99)","Kerry County Council","Number","76"
"Deaths Registered","2023Q3","Diseases of the Circulatory System (I00-I99)","Longford County Council","Number","21"
"Deaths Registered","2023Q3","Diseases of the Circulatory System (I00-I99)","Louth County Council","Number","68"
"Deaths Registered","2023Q3","Diseases of the Circulatory System (I00-I99)","Limerick City & County Council","Number","88"
"Deaths Registered","2023Q3","Diseases of the Circulatory System (I00-I99)","Leitrim County Council","Number","26"
"Deaths Registered","2023Q3","Diseases of the Circulatory System (I00-I99)","Laois County Council","Number","26"
"Deaths Registered","2023Q3","Diseases of the Circulatory System (I00-I99)","Meath County Council","Number","76"
"Deaths Registered","2023Q3","Diseases of the Circulatory System (I00-I99)","Monaghan County Council","Number","36"
"Deaths Registered","2023Q3","Diseases of the Circulatory System (I00-I99)","Mayo County Council","Number","91"
"Deaths Registered","2023Q3","Diseases of the Circulatory System (I00-I99)","Offaly County Council","Number","29"
"Deaths Registered","2023Q3","Diseases of the Circulatory System (I00-I99)","Roscommon County Council","Number","46"
"Deaths Registered","2023Q3","Diseases of the Circulatory System (I00-I99)","South Dublin County Council","Number","92"
"Deaths Registered","2023Q3","Diseases of the Circulatory System (I00-I99)","Sligo County Council","Number","41"
"Deaths Registered","2023Q3","Diseases of the Circulatory System (I00-I99)","Tipperary County Council","Number","78"
"Deaths Registered","2023Q3","Diseases of the Circulatory System (I00-I99)","Waterford City & County Council","Number","65"
"Deaths Registered","2023Q3","Diseases of the Circulatory System (I00-I99)","Westmeath County Council","Number","52"
"Deaths Registered","2023Q3","Diseases of the Circulatory System (I00-I99)","Wicklow County Council","Number","60"
"Deaths Registered","2023Q3","Diseases of the Circulatory System (I00-I99)","Wexford County Council","Number","92"
"Deaths Registered","2023Q3","Diseases of the Respiratory system (J00-J99)","Ireland","Number","914"
"Deaths Registered","2023Q3","Diseases of the Respiratory system (J00-J99)","Cork City Council","Number","26"
"Deaths Registered","2023Q3","Diseases of the Respiratory system (J00-J99)","Clare County Council","Number","33"
"Deaths Registered","2023Q3","Diseases of the Respiratory system (J00-J99)","Cavan County Council","Number","10"
"Deaths Registered","2023Q3","Diseases of the Respiratory system (J00-J99)","Cork County Council","Number","87"
"Deaths Registered","2023Q3","Diseases of the Respiratory system (J00-J99)","Carlow County Council","Number","11"
"Deaths Registered","2023Q3","Diseases of the Respiratory system (J00-J99)","Dublin City Council","Number","127"
"Deaths Registered","2023Q3","Diseases of the Respiratory system (J00-J99)","Dún Laoghaire Rathdown County Council","Number","39"
"Deaths Registered","2023Q3","Diseases of the Respiratory system (J00-J99)","Donegal County Council","Number","38"
"Deaths Registered","2023Q3","Diseases of the Respiratory system (J00-J99)","Fingal County Council","Number","36"
"Deaths Registered","2023Q3","Diseases of the Respiratory system (J00-J99)","Galway County Council","Number","35"
"Deaths Registered","2023Q3","Diseases of the Respiratory system (J00-J99)","Galway City Council","Number","17"
"Deaths Registered","2023Q3","Diseases of the Respiratory system (J00-J99)","Kildare County Council","Number","25"
"Deaths Registered","2023Q3","Diseases of the Respiratory system (J00-J99)","Kilkenny County Council","Number","15"
"Deaths Registered","2023Q3","Diseases of the Respiratory system (J00-J99)","Kerry County Council","Number","42"
"Deaths Registered","2023Q3","Diseases of the Respiratory system (J00-J99)","Longford County Council","Number","9"
"Deaths Registered","2023Q3","Diseases of the Respiratory system (J00-J99)","Louth County Council","Number","20"
"Deaths Registered","2023Q3","Diseases of the Respiratory system (J00-J99)","Limerick City & County Council","Number","51"
"Deaths Registered","2023Q3","Diseases of the Respiratory system (J00-J99)","Leitrim County Council","Number","14"
"Deaths Registered","2023Q3","Diseases of the Respiratory system (J00-J99)","Laois County Council","Number","3"
"Deaths Registered","2023Q3","Diseases of the Respiratory system (J00-J99)","Meath County Council","Number","27"
"Deaths Registered","2023Q3","Diseases of the Respiratory system (J00-J99)","Monaghan County Council","Number","14"
"Deaths Registered","2023Q3","Diseases of the Respiratory system (J00-J99)","Mayo County Council","Number","34"
"Deaths Registered","2023Q3","Diseases of the Respiratory system (J00-J99)","Offaly County Council","Number","20"
"Deaths Registered","2023Q3","Diseases of the Respiratory system (J00-J99)","Roscommon County Council","Number","17"
"Deaths Registered","2023Q3","Diseases of the Respiratory system (J00-J99)","South Dublin County Council","Number","38"
"Deaths Registered","2023Q3","Diseases of the Respiratory system (J00-J99)","Sligo County Council","Number","6"
"Deaths Registered","2023Q3","Diseases of the Respiratory system (J00-J99)","Tipperary County Council","Number","32"
"Deaths Registered","2023Q3","Diseases of the Respiratory system (J00-J99)","Waterford City & County Council","Number","15"
"Deaths Registered","2023Q3","Diseases of the Respiratory system (J00-J99)","Westmeath County Council","Number","21"
"Deaths Registered","2023Q3","Diseases of the Respiratory system (J00-J99)","Wicklow County Council","Number","24"
"Deaths Registered","2023Q3","Diseases of the Respiratory system (J00-J99)","Wexford County Council","Number","28"
"Deaths Registered","2023Q3","External causes of injury and poisoning (V01-Y89)","Ireland","Number","286"
"Deaths Registered","2023Q3","External causes of injury and poisoning (V01-Y89)","Cork City Council","Number","18"
"Deaths Registered","2023Q3","External causes of injury and poisoning (V01-Y89)","Clare County Council","Number","9"
"Deaths Registered","2023Q3","External causes of injury and poisoning (V01-Y89)","Cavan County Council","Number","6"
"Deaths Registered","2023Q3","External causes of injury and poisoning (V01-Y89)","Cork County Council","Number","29"
"Deaths Registered","2023Q3","External causes of injury and poisoning (V01-Y89)","Carlow County Council","Number","4"
"Deaths Registered","2023Q3","External causes of injury and poisoning (V01-Y89)","Dublin City Council","Number","19"
"Deaths Registered","2023Q3","External causes of injury and poisoning (V01-Y89)","Dún Laoghaire Rathdown County Council","Number","7"
"Deaths Registered","2023Q3","External causes of injury and poisoning (V01-Y89)","Donegal County Council","Number","6"
"Deaths Registered","2023Q3","External causes of injury and poisoning (V01-Y89)","Fingal County Council","Number","5"
"Deaths Registered","2023Q3","External causes of injury and poisoning (V01-Y89)","Galway County Council","Number","15"
"Deaths Registered","2023Q3","External causes of injury and poisoning (V01-Y89)","Galway City Council","Number","8"
"Deaths Registered","2023Q3","External causes of injury and poisoning (V01-Y89)","Kildare County Council","Number","8"
"Deaths Registered","2023Q3","External causes of injury and poisoning (V01-Y89)","Kilkenny County Council","Number","5"
"Deaths Registered","2023Q3","External causes of injury and poisoning (V01-Y89)","Kerry County Council","Number","10"
"Deaths Registered","2023Q3","External causes of injury and poisoning (V01-Y89)","Longford County Council","Number","2"
"Deaths Registered","2023Q3","External causes of injury and poisoning (V01-Y89)","Louth County Council","Number","9"
"Deaths Registered","2023Q3","External causes of injury and poisoning (V01-Y89)","Limerick City & County Council","Number","17"
"Deaths Registered","2023Q3","External causes of injury and poisoning (V01-Y89)","Leitrim County Council","Number","2"
"Deaths Registered","2023Q3","External causes of injury and poisoning (V01-Y89)","Laois County Council","Number","2"
"Deaths Registered","2023Q3","External causes of injury and poisoning (V01-Y89)","Meath County Council","Number","10"
"Deaths Registered","2023Q3","External causes of injury and poisoning (V01-Y89)","Monaghan County Council","Number","10"
"Deaths Registered","2023Q3","External causes of injury and poisoning (V01-Y89)","Mayo County Council","Number","12"
"Deaths Registered","2023Q3","External causes of injury and poisoning (V01-Y89)","Offaly County Council","Number","2"
"Deaths Registered","2023Q3","External causes of injury and poisoning (V01-Y89)","Roscommon County Council","Number","1"
"Deaths Registered","2023Q3","External causes of injury and poisoning (V01-Y89)","South Dublin County Council","Number","8"
"Deaths Registered","2023Q3","External causes of injury and poisoning (V01-Y89)","Sligo County Council","Number","13"
"Deaths Registered","2023Q3","External causes of injury and poisoning (V01-Y89)","Tipperary County Council","Number","10"
"Deaths Registered","2023Q3","External causes of injury and poisoning (V01-Y89)","Waterford City & County Council","Number","13"
"Deaths Registered","2023Q3","External causes of injury and poisoning (V01-Y89)","Westmeath County Council","Number","7"
"Deaths Registered","2023Q3","External causes of injury and poisoning (V01-Y89)","Wicklow County Council","Number","7"
"Deaths Registered","2023Q3","External causes of injury and poisoning (V01-Y89)","Wexford County Council","Number","12"
"Deaths Registered","2023Q3","All other causes","Ireland","Number","2141"
"Deaths Registered","2023Q3","All other causes","Cork City Council","Number","78"
"Deaths Registered","2023Q3","All other causes","Clare County Council","Number","70"
"Deaths Registered","2023Q3","All other causes","Cavan County Council","Number","35"
"Deaths Registered","2023Q3","All other causes","Cork County Council","Number","182"
"Deaths Registered","2023Q3","All other causes","Carlow County Council","Number","17"
"Deaths Registered","2023Q3","All other causes","Dublin City Council","Number","277"
"Deaths Registered","2023Q3","All other causes","Dún Laoghaire Rathdown County Council","Number","111"
"Deaths Registered","2023Q3","All other causes","Donegal County Council","Number","81"
"Deaths Registered","2023Q3","All other causes","Fingal County Council","Number","94"
"Deaths Registered","2023Q3","All other causes","Galway County Council","Number","85"
"Deaths Registered","2023Q3","All other causes","Galway City Council","Number","25"
"Deaths Registered","2023Q3","All other causes","Kildare County Council","Number","77"
"Deaths Registered","2023Q3","All other causes","Kilkenny County Council","Number","45"
"Deaths Registered","2023Q3","All other causes","Kerry County Council","Number","73"
"Deaths Registered","2023Q3","All other causes","Longford County Council","Number","15"
"Deaths Registered","2023Q3","All other causes","Louth County Council","Number","54"
"Deaths Registered","2023Q3","All other causes","Limerick City & County Council","Number","111"
"Deaths Registered","2023Q3","All other causes","Leitrim County Council","Number","21"
"Deaths Registered","2023Q3","All other causes","Laois County Council","Number","20"
"Deaths Registered","2023Q3","All other causes","Meath County Council","Number","57"
"Deaths Registered","2023Q3","All other causes","Monaghan County Council","Number","26"
"Deaths Registered","2023Q3","All other causes","Mayo County Council","Number","85"
"Deaths Registered","2023Q3","All other causes","Offaly County Council","Number","27"
"Deaths Registered","2023Q3","All other causes","Roscommon County Council","Number","31"
"Deaths Registered","2023Q3","All other causes","South Dublin County Council","Number","93"
"Deaths Registered","2023Q3","All other causes","Sligo County Council","Number","37"
"Deaths Registered","2023Q3","All other causes","Tipperary County Council","Number","81"
"Deaths Registered","2023Q3","All other causes","Waterford City & County Council","Number","68"
"Deaths Registered","2023Q3","All other causes","Westmeath County Council","Number","41"
"Deaths Registered","2023Q3","All other causes","Wicklow County Council","Number","53"
"Deaths Registered","2023Q3","All other causes","Wexford County Council","Number","71"
