"Statistic Label","Census Year","Sex","Type of difficulty or condition","Extent of difficulty or condition","Type of Communal Establishment","UNIT","VALUE"
"People with a disability","2022","Both sexes","Psychological or emotional condition or a mental health issue","Some Extent","Hotel","Number","1042"
"People with a disability","2022","Both sexes","Psychological or emotional condition or a mental health issue","Some Extent","Guest house, boarding house or B&B","Number","145"
"People with a disability","2022","Both sexes","Psychological or emotional condition or a mental health issue","Some Extent","Tourist/youth hostel or campsite","Number","100"
"People with a disability","2022","Both sexes","Psychological or emotional condition or a mental health issue","Some Extent","Student specific accommodation","Number","701"
"People with a disability","2022","Both sexes","Psychological or emotional condition or a mental health issue","Some Extent","Religious community","Number","119"
"People with a disability","2022","Both sexes","Psychological or emotional condition or a mental health issue","Some Extent","Residential facility for people with an intellectual and/or physical disability","Number","977"
"People with a disability","2022","Both sexes","Psychological or emotional condition or a mental health issue","Some Extent","Children's home","Number","43"
"People with a disability","2022","Both sexes","Psychological or emotional condition or a mental health issue","Some Extent","Nursing home","Number","4412"
"People with a disability","2022","Both sexes","Psychological or emotional condition or a mental health issue","Some Extent","Hospital","Number","972"
"People with a disability","2022","Both sexes","Psychological or emotional condition or a mental health issue","Some Extent","Defence establishment","Number","6"
"People with a disability","2022","Both sexes","Psychological or emotional condition or a mental health issue","Some Extent","Prison","Number","281"
"People with a disability","2022","Both sexes","Psychological or emotional condition or a mental health issue","Some Extent","Shelter or refuge (including accommodation for homeless persons)","Number","787"
"People with a disability","2022","Both sexes","Psychological or emotional condition or a mental health issue","Some Extent","Civilian ships, boats and barges","Number","3"
"People with a disability","2022","Both sexes","Psychological or emotional condition or a mental health issue","Some Extent","Other, including not stated","Number","262"
"People with a disability","2022","Both sexes","Psychological or emotional condition or a mental health issue","Great Extent","All persons","Number","10047"
"People with a disability","2022","Both sexes","Psychological or emotional condition or a mental health issue","Great Extent","Hotel","Number","313"
"People with a disability","2022","Both sexes","Psychological or emotional condition or a mental health issue","Great Extent","Guest house, boarding house or B&B","Number","57"
"People with a disability","2022","Both sexes","Psychological or emotional condition or a mental health issue","Great Extent","Tourist/youth hostel or campsite","Number","36"
"People with a disability","2022","Both sexes","Psychological or emotional condition or a mental health issue","Great Extent","Student specific accommodation","Number","247"
"People with a disability","2022","Both sexes","Psychological or emotional condition or a mental health issue","Great Extent","Religious community","Number","44"
"People with a disability","2022","Both sexes","Psychological or emotional condition or a mental health issue","Great Extent","Residential facility for people with an intellectual and/or physical disability","Number","1695"
"People with a disability","2022","Both sexes","Psychological or emotional condition or a mental health issue","Great Extent","Children's home","Number","20"
"People with a disability","2022","Both sexes","Psychological or emotional condition or a mental health issue","Great Extent","Nursing home","Number","5228"
"People with a disability","2022","Both sexes","Psychological or emotional condition or a mental health issue","Great Extent","Hospital","Number","1240"
"People with a disability","2022","Both sexes","Psychological or emotional condition or a mental health issue","Great Extent","Defence establishment","Number","3"
"People with a disability","2022","Both sexes","Psychological or emotional condition or a mental health issue","Great Extent","Prison","Number","167"
"People with a disability","2022","Both sexes","Psychological or emotional condition or a mental health issue","Great Extent","Shelter or refuge (including accommodation for homeless persons)","Number","504"
